,user_id,segment_RFM,recency,frequency,monetary,perks_RFM,segment_behavior,perks_behavior,rate_discount_trip,season_top,month_top
0,23557,hibernating,1,1,0.0,Reach out with personalized win-back offers or discounts to encourage them to return.,Lambda Traveller,Last-Minute Deals,lukewarm opportunit,spring,1
1,94883,cant_lose,2,5,1094.09,Provide exclusive offers or early access to new products/services to maintain their engagement.,Friend Relaxer,Discounts for bookings on short stays.,cold opportunist,spring,1
2,101486,loyal_customers,3,5,948.91,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Lambda Traveller,Last-Minute Deals,hot opportunitst,spring,2
3,101961,loyal_customers,3,4,3126.99,"Exclusive loyalty rewards such as early access to new products, VIP events, or special discounts.",Business expansive,Reduced rates for long-term hotel stays.,hot opportunitst,summer,2
4,106907,lost,2,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,1
5,118043,potential_loyalists,4,3,5063.63,"Provide personalized incentives to make the leap to loyal customer status, such as double loyalty points or exclusive previews.",Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",hot opportunitst,autumn,2
6,120851,one timer,1,0,2386.68,Implement an onboarding email series to introduce them to your products/services.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,hot opportunitst,spring,1
7,125845,hibernating,1,2,1339.94,Reach out with personalized win-back offers or discounts to encourage them to return.,Friend Relaxer,Discounts for bookings on short stays.,lukewarm opportunit,summer,1
8,133058,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,lukewarm opportunit,spring,1
9,149058,cant_lose,1,5,7166.11,Provide exclusive offers or early access to new products/services to maintain their engagement.,Familly Adventure,"Packages with activities such as safaris, theme parks, and outdoor adventures.",lukewarm opportunit,spring,2
10,152583,one timer,4,0,793.8299999999999,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,hot opportunitst,spring,1
11,153982,hibernating,2,1,1337.87,Reach out with personalized win-back offers or discounts to encourage them to return.,Solo Casual Traveller,Short trip packages for popular destinations.,cold opportunist,summer,1
12,160754,one timer,5,0,521.62,Implement an onboarding email series to introduce them to your products/services.,Solo Tempted Traveller,Exclusive weekend getaway offers for returning customers.,cold opportunist,spring,1
13,164522,lost,3,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,Solo Curious Adventurer,Discounts on long trips to adventurous destinations for repeat customers.,hot opportunitst,spring,1
14,167852,lost,1,0,0.0,Conduct surveys or feedback sessions to understand why they stopped purchasing and address any concerns.,inactive frozen,Automatic enrollment in a loyalty program with immediate benefits to encourage re-engagement.,hot opportunitst,spring,0
